"Symbol","ShortName","ListedDate","InstitutionID","CoFullName","IndustryCode","IndustryName","FirstSTDate","FirstSTReason","SurvivalTimeofFirstST"
"688069","德林海","2020-07-22","10479308","无锡德林海环保科技股份有限公司","N77","生态保护和环境治理业","","",""
"688070","纵横股份","2021-02-10","10487561","成都纵横自动化技术股份有限公司","C37","铁路、船舶、航空航天和其它运输设备制造业","","",""
"688071","华依科技","2021-07-29","10522991","上海华依科技集团股份有限公司","C35","专用设备制造业","","",""
"688072","拓荆科技","2022-04-20","10315099","拓荆科技股份有限公司","C35","专用设备制造业","","",""
"688073","毕得医药","2022-10-11","10573786","上海毕得医药科技股份有限公司","M73","研究和试验发展","","",""
"688075","安旭生物","2021-11-18","10523493","杭州安旭生物科技股份有限公司","C27","医药制造业","","",""
"688076","诺泰生物","2021-05-20","10328357","江苏诺泰澳赛诺生物制药股份有限公司","C27","医药制造业","","",""
"688077","大地熊","2020-07-22","10204483","安徽大地熊新材料股份有限公司","C30","非金属矿物制品业","","",""
"688078","龙软科技","2019-12-30","10109011","北京龙软科技股份有限公司","I65","软件和信息技术服务业","","",""
"688079","美迪凯","2021-03-02","10494253","杭州美迪凯光电科技股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688080","映翰通","2020-02-12","10130784","北京映翰通网络技术股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688081","兴图新科","2020-01-06","10477337","武汉兴图新科电子股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688082","盛美上海","2021-11-18","10417908","盛美半导体设备(上海)股份有限公司","C35","专用设备制造业","","",""
"688083","中望软件","2021-03-11","10406828","广州中望龙腾软件股份有限公司","I65","软件和信息技术服务业","","",""
"688084","晶品特装","2022-12-08","10578687","北京晶品特装科技股份有限公司","C35","专用设备制造业","","",""
"688085","三友医疗","2020-04-09","10421645","上海三友医疗器械股份有限公司","C35","专用设备制造业","","",""
"688086","退市紫晶","2020-02-26","10373374","广东紫晶信息存储技术股份有限公司","C39","计算机、通信和其他电子设备制造业","2022-05-06","审计否定","2.19"
"688087","英科再生","2021-07-09","10102448","英科再生资源股份有限公司","C42","废弃资源综合利用业","","",""
"688088","虹软科技","2019-07-22","10458897","虹软科技股份有限公司","I65","软件和信息技术服务业","","",""
"688089","嘉必优","2019-12-19","10381036","嘉必优生物技术(武汉)股份有限公司","C14","食品制造业","","",""
"688090","瑞松科技","2020-02-17","10428256","广州瑞松智能科技股份有限公司","C35","专用设备制造业","","",""
"688091","上海谊众","2021-09-09","10513889","上海谊众药业股份有限公司","C27","医药制造业","","",""
"688092","爱科科技","2021-03-19","10524431","杭州爱科科技股份有限公司","C35","专用设备制造业","","",""
"688093","世华科技","2020-09-30","10467036","苏州世华新材料科技股份有限公司","C39","计算机、通信和其他电子设备制造业","","",""
"688095","福昕软件","2020-09-08","10145833","福建福昕软件开发股份有限公司","I65","软件和信息技术服务业","","",""
"688096","京源环保","2020-04-09","10139115","江苏京源环保股份有限公司","C35","专用设备制造业","","",""
"688097","博众精工","2021-05-12","10450050","博众精工科技股份有限公司","C35","专用设备制造业","","",""
"688098","申联生物","2019-10-28","10402116","申联生物医药(上海)股份有限公司","C27","医药制造业","","",""
"688099","晶晨股份","2019-08-08","10459497","晶晨半导体(上海)股份有限公司","I65","软件和信息技术服务业","","",""
